96*Russell Westbrook*1
95*Stephen Curry*1
91*Chris Paul*1
90*Isaiah Thomas*1
90*Damian Lillard*1
90*John Wall*1
90*Kyrie Irving*1
88*Kyle Lowry*1
87*Mike Conley*1
86*Kemba Walker*1
85*Eric Bledsoe*1
85*Goran Dragic*1
82*Jeff Teague*1
82*George Hill*1
81*Derrick Rose*1
81*Dennis Schroder*1
80*DAngelo Russell*1
80*Ricky Rubio*1
79*Jeremy Lin*1
79*Jrue Holiday*1
78*Elfrid Payton*1
78*Darren Collison*1
78*Patrick Beverley*1
77*J.J. Barea*1
77*Patty Mills*1
77*Reggie Jackson*1
77*Tony Parker*1
77*Deron Williams*1
77*Jordan Clarkson*1
76*Rajon Rondo*1
76*Brandon Knight*1
76*Marcus Smart*1
76*Austin Rivers*1
76*Cory Joseph*1
76*Ish Smith*1
76*Tyler Ulis*1
75*Yogi Ferrell*1
75*T.J. McConnell*1
75*Aaron Brooks*1
75*Jerryd Bayless*1
74*Emmanuel Mudiay*1
74*Beno Udrih*1
74*Tim Frazier*1
74*Ty Lawson*1
74*Quinn Cook*1
74*Jerian Grant*1
74*D.J. Augustin*1
74*Ramon Sessions*1
74*Langston Galloway*1
74*Shelvin Mack*1
74*Dejounte Murray*1
73*Tyus Jones*1
73*Devin Harris*1
73*Raymond Felton*1
73*Trey Burke*1
73*Jameer Nelson*1
73*Shaun Livingston*1
73*Spencer Dinwiddie*1
73*Malcolm Delaney*1
73*Dante Exum*1
73*Isaiah Whitehead*1
73*Jose Calderon*1
73*Marcelo Huertas*1
73*Raul Neto*1
72*Brandon Jennings*1
72*Sergio Rodriguez*1
72*Terry Rozier*1
72*Matthew Dellavedova*1
71*Andrew Harrison*1
72*C.J. Watson*1
72*Kris Dunn*1
72*Brian Roberts*1
71*Jason Terry*1
71*Isaiah Taylor*1
71*Cameron Payne*1
71*Joe Young*1
71*Toney Douglas*1
71*Ray McCallum*1
70*Michael Carter-Williams*1
70*Tomas Satoransky*1
70*Shabazz Napier*1
70*Briante Weber*1
69*Kay Felder*1
69*Ronnie Price*1
69*Delon Wright*1
69*Gary Payton*1
68*Wade Baldwin*1
68*Tyler Ennis*1
68*Bobby Brown*1
67*Fred VanVleet*1
67*Demetrius Jackson*1
66*Tim Quarterman*1
65*Semaj Christon*1
67*Chasson Randle*1
74*Jarrett Jack*1
74*Mario Chalmers*1
72*Pierre Jackson*1
71*Greivis Vasquez*1
71*Tony Wroten*1
