95*Stephen Curry*1
93*Kyrie Irving*1
92*Damian Lillard*1
92*Russell Westbrook*1
90*Chris Paul*1
89*Kemba Walker*1
87*Ben Simmons*1
87*Mike Conley*1
87*Kyle Lowry*1
87*John Wall*1
86*Eric Bledsoe*1
86*DAngelo Russell*1
85*DeAaron Fox*1
83*Darren Collison*1
82*D.J. Augustin*1
82*Trae Young*1
82*Ricky Rubio*1
82*Reggie Jackson*1
82*Jeff Teague*1
81*Jamal Murray*1
80*Kris Dunn*1
80*Dennis Smith*1
79*Elfrid Payton*1
79*Lonzo Ball*1
67*Troy Caupain*1
78*Justise Winslow*1
78*Dejounte Murray*1
78*Shai Gilgeous-Alexander*1
77*Collin Sexton*1
76*Tyler Johnson*1
73*Jalen Brunson*1
67*Brandon Goodwin*1
65*Kalin Lucas*1
84*Lou Williams*1
64*Tahjere McCall*1
69*Lorenzo Brown*1
70*Andrew Harrison*1
82*Jeremy Lin*1
67*Chris Chiozza*1
81*J.J. Barea*1
69*Jawun Evans*1
66*Isaiah Briscoe*1
71*Tyler Ulis*1
81*Spencer Dinwiddie*1
81*Tony Parker*1
81*Derrick White*1
80*Rajon Rondo*1
80*Monte Morris*1
80*Emmanuel Mudiay*1
79*Goran Dragic*1
79*Dennis Schroder*1
78*Ish Smith*1
78*Tomas Satoransky*1
78*T.J. McConnell*1
78*Jerian Grant*1
77*Quinn Cook*1
77*George Hill*1
77*Delon Wright*1
76*Terry Rozier*1
76*Cory Joseph*1
75*Evan Turner*1
75*Tyus Jones*1
75*Ryan Arcidiacono*1
75*Dante Exum*1
74*Matthew Dellavedova*1
73*Austin Rivers*1
71*Michael Carter-Williams*1
73*DeAnthony Melton*1
71*Jaylen Adams*1
72*Jonathan Gibson*1
71*Ian Clark*1
81*Isaiah Thomas*1
80*Trey Burke*1
73*Aaron Holiday*1
78*Fred VanVleet*1
77*Shelvin Mack*1
76*Patty Mills*1
76*Markelle Fultz*1
76*Frank Mason*1
76*Kadeem Allen*1
73*Isaiah Canaan*1
73*Raul Neto*1
72*Frank Ntilikina*1
72*Chasson Randle*1
72*Brad Wanamaker*1
72*Tim Frazier*1
71*Jimmer Fredette*1
70*Elie Okobo*1
70*Jerryd Bayless*1
70*Devonte Graham*1
70*Trevon Duval*1
69*Jevon Carter*1
68*Daryl Macon*1
68*Demetrius Jackson*1
65*Keenan Evans*1
68*Joe Chealey*1
67*Jared Terrell*1
75*Cameron Payne*1
75*Milos Teodosic*1
71*Wade Baldwin*1
69*Gary Payton*1
66*Kobi Simmons*1
76*Yogi Ferrell*1
76*Shabazz Napier*1
75*Raymond Felton*1
71*Jose Calderon*1
67*Chris Chizzola*1
65*Scott Machado*1
67*Cody Demps*1
67*Walt Lemon*1
89*Jrue Holiday*2
66*Dusty Hannahs*2
89*Victor Oladipo*2
88*Devin Booker*2
87*Bradley Beal*2
86*Donovan Mitchell*2
85*Zach LaVine*2
84*CJ McCollum*2
68*George King*2
83*Malcolm Brogdon*2
65*Duncan Robinson*2
83*Buddy Hield*2
83*Klay Thompson*2
83*Marcus Smart*2
81*J.J. Redick*2
69*Khyri Thomas*2
81*Caris LeVert*2
80*Danny Green*2
80*Gary Harris*2
80*Evan Fournier*2
80*Tim Hardaway*2
69*Dairis Bertans*2
79*Andrew Wiggins*2
79*Brandon Ingram*2
78*Nicolas Batum*2
67*DeVaughn Akoon-Purcell*2
66*Scotty Hopson*2
78*Patrick Beverley*2
78*Eric Gordon*2
78*Avery Bradley*2
78*Bryn Forbes*2
76*Damyean Dotson*2
76*Dion Waiters*2
75*Kevin Huerter*2
72*Jodie Meeks*2
65*Jordan Sibert*2
75*Andre Roberson*2
74*Brandon Knight*2
85*Derrick Rose*2
81*Jaylen Brown*2
80*Jordan Clarkson*2
80*Dwyane Wade*2
80*Jeremy Lamb*2
78*Kent Bazemore*2
78*Rodney Hood*2
69*Anfernee Simons*2
77*Wesley Matthews*2
77*Josh Hart*2
77*Iman Shumpert*2
77*Malik Beasley*2
77*Marco Belinelli*2
76*ETwaun Moore*2
76*Garrett Temple*2
76*Justin Holiday*2
76*Shaquille Harrison*2
76*Alec Burks*2
76*Norman Powell*2
70*Ben McLemore*2
76*Devin Harris*2
76*Jamal Crawford*2
75*Royce ONeale*2
75*Shaun Livingston*2
75*Sterling Brown*2
74*Allonzo Trier*2
74*Jonathon Simmons*2
69*Malachi Richardson*2
69*C.J. Williams*2
72*Jordan McRae*2
80*Tyreke Evans*2
68*Alex Caruso*2
67*Trevon Bluiett*2
66*John Holland*2
66*Michael Frazier*2
78*Courtney Lee*2
76*Kentavious Caldwell-Pope*2
76*Josh Okogie*2
75*Rodney McGruder*2
75*Wayne Ellington*2
75*Malik Monk*2
75*Pat Connaughton*2
75*Zhaire Smith*2
75*Lonnie Walker*2
74*Damion Lee*2
74*Antonio Blakeney*2
73*Jacob Evans*2
66*Jaylen Morris*2
69*Gary Trent*2
65*Mitch Creek*2
72*Nik Stauskas*2
72*Hamidou Diallo*2
72*Donte DiVincenzo*2
72*J.R. Smith*2
72*Shake Milton*2
71*Tyrone Wallace*2
71*Frank Jackson*2
71*John Jenkins*2
71*Grayson Allen*2
71*Tyler Dorsey*2
71*Alex Abrines*2
70*Ryan Broekhoff*2
70*Naz Mitrou-Long*2
69*Treveon Graham*2
68*Patrick McCaw*2
68*Timothe Luwawu-Cabarrot*2
68*Edmond Sumner*2
73*MarShon Brooks*2
68*Brandon Sampson*2
68*Jordan Loyd*2
68*PJ Dozier*2
68*J.P. Macura*2
66*R.J. Hunter*2
66*Zach Lofton*2
73*Nick Young*2
72*Ron Baker*2
69*Jabari Bird*2
68*Andre Ingram*2
72*Langston Galloway*2
72*Allen Crabbe*2
71*Luke Kennard*2
70*Terrance Ferguson*2
70*Melvin Frazier*2
74*Troy Daniels*2
70*Seth Curry*2
98*Kevin Durant*3
97*LeBron James*3
95*James Harden*3
94*Kawhi Leonard*3
93*Paul George*3
90*Jimmy Butler*3
89*Luka Doncic*3
89*DeMar DeRozan*3
86*Khris Middleton*3
86*Jayson Tatum*3
66*Donte Grantham*3
85*Bojan Bogdanovic*3
83*Otto Porter*3
83*Robert Covington*3
83*Kyle Anderson*3
81*Harrison Barnes*3
81*Josh Richardson*3
81*Joe Ingles*3
80*Will Barton*3
78*Trevor Ariza*3
77*Joe Harris*3
68*Jalen Jones*3
77*Taurean Waller-Prince*3
77*Cedi Osman*3
76*Landry Shamet*3
75*Mikal Bridges*3
74*Miles Bridges*3
73*Kevin Knox*3
65*Billy Garrett*3
73*Bruce Brown*3
73*Kenrich Williams*3
83*Gordon Hayward*3
69*Jarred Vanderbilt*3
82*Andre Iguodala*3
80*Bogdan Bogdanovic*3
79*Darius Miller*3
79*Gerald Green*3
78*Reggie Bullock*3
77*James Ennis*3
76*Dorian Finney-Smith*3
76*Derrick Jones*3
76*Juan Hernangomez*3
76*Tony Snell*3
